Subject	Group	GroupNum	Day_1	Day_2	Day_3	Day_4	Day_5	binDay_1	binDay_2	binDay_3	binDay_4	binDay_5	GroupA	GroupB	GroupC	GroupD
211	A	1	0	4	4	4	4	0	1	1	1	1	1	0	0	0
216	A	1	1	2	3	4	4	0	0	1	1	1	1	0	0	0
217	A	1	1	1	1	1	4	0	0	0	0	1	1	0	0	0
227	A	1	3	3	0	3	3	1	1	0	1	1	1	0	0	0
229	A	1	2	4	3	3	3	0	1	1	1	1	1	0	0	0
231	A	1	0	4	2	4	4	0	1	0	1	1	1	0	0	0
237	A	1	1	4	4	4	4	0	1	1	1	1	1	0	0	0
239	A	1	0	1	4	4	4	0	0	1	1	1	1	0	0	0
241	A	1	3	1	1	3	4	1	0	0	1	1	1	0	0	0
248	A	1	3	3	3	3	3	1	1	1	1	1	1	0	0	0
249	A	1	2	3	2	4	4	0	1	0	1	1	1	0	0	0
254	A	1	3	2	3	4	4	1	0	1	1	1	1	0	0	0
259	A	1	4	4	4	4	4	1	1	1	1	1	1	0	0	0
266	A	1	4	4	4	4	4	1	1	1	1	1	1	0	0	0
268	A	1	0	3	3	3	3	0	1	1	1	1	1	0	0	0
212	B	2	0	4	3	3	4	0	1	1	1	1	0	1	0	0
213	B	2	0	3	3	4	4	0	1	1	1	1	0	1	0	0
215	B	2	2	3	4	4	4	0	1	1	1	1	0	1	0	0
228	B	2	0	3	4	4	4	0	1	1	1	1	0	1	0	0
230	B	2	4	3	3	3	4	1	1	1	1	1	0	1	0	0
232	B	2	3	4	4	4	4	1	1	1	1	1	0	1	0	0
238	B	2	0	1	1	2	4	0	0	0	0	1	0	1	0	0
240	B	2	3	1	2	4	4	1	0	0	1	1	0	1	0	0
242	B	2	4	4	4	4	4	1	1	1	1	1	0	1	0	0
251	B	2	0	1	4	4	3	0	0	1	1	1	0	1	0	0
252	B	2	2	2	4	4	4	0	0	1	1	1	0	1	0	0
255	B	2	0	0	0	0	4	0	0	0	0	1	0	1	0	0
257	B	2	4	4	4	4	4	1	1	1	1	1	0	1	0	0
258	B	2	2	0	4	4	4	0	0	1	1	1	0	1	0	0
267	B	2	1	4	4	4	4	0	1	1	1	1	0	1	0	0
289	C	3	0	0	4	4	4	0	0	1	1	1	0	0	1	0
293	C	3	0	3	3	3	3	0	1	1	1	1	0	0	1	0
294	C	3	1	2	4	4	4	0	0	1	1	1	0	0	1	0
295	C	3	0	3	3	4	4	0	1	1	1	1	0	0	1	0
298	C	3	3	3	4	4	4	1	1	1	1	1	0	0	1	0
299	C	3	3	3	4	4	4	1	1	1	1	1	0	0	1	0
300	C	3	3	3	4	4	4	1	1	1	1	1	0	0	1	0
302	C	3	0	2	3	3	4	0	0	1	1	1	0	0	1	0
303	C	3	3	3	3	4	4	1	1	1	1	1	0	0	1	0
304	C	3	3	4	4	4	4	1	1	1	1	1	0	0	1	0
320	C	3	3	3	4	4	4	1	1	1	1	1	0	0	1	0
331	C	3	3	3	3	4	4	1	1	1	1	1	0	0	1	0
332	C	3	1	1	3	4	4	0	0	1	1	1	0	0	1	0
344	C	3	0	3	4	4	4	0	1	1	1	1	0	0	1	0
373	C	3	4	4	4	4	4	1	1	1	1	1	0	0	1	0
608	D	4	4	4	4	4	4	1	1	1	1	1	0	0	0	1
611	D	4	0	3	4	4	4	0	1	1	1	1	0	0	0	1
612	D	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
613	D	4	3	4	3	4	4	1	1	1	1	1	0	0	0	1
614	D	4	2	3	3	4	3	0	1	1	1	1	0	0	0	1
619	D	4	4	4	4	4	4	1	1	1	1	1	0	0	0	1
621	D	4	3	4	4	4	4	1	1	1	1	1	0	0	0	1
622	D	4	0	4	4	4	4	0	1	1	1	1	0	0	0	1
623	D	4	0	4	4	4	4	0	1	1	1	1	0	0	0	1
624	D	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
625	D	4	3	4	4	4	4	1	1	1	1	1	0	0	0	1
626	D	4	0	0	4	4	4	0	0	1	1	1	0	0	0	1
628	D	4	4	4	4	4	4	1	1	1	1	1	0	0	0	1
629	D	4	2	4	3	4	3	0	1	1	1	1	0	0	0	1
630	D	4	3	3	4	3	4	1	1	1	1	1	0	0	0	1
